"Dates","Spending"
"December 2013","$29.00"
"January 2014","$0.00"
"February 2014","$745.00"
"March 2014","$1,925.00"
"April 2014","$60.00"
"May 2014","$0.00"
"June 2014","$0.00"
"July 2014","$920.40"
"August 2014","$0.00"
"September 2014","$454.20"
"October 2014","$873.40"
"November 2014","$0.00"
"December 2014","$0.00"
"January 2015","$0.00"
"February 2015","$0.00"
"March 2015","$0.00"
"April 2015","$0.00"
"May 2015","$0.00"
"June 2015","$293.00"
"July 2015","$172.20"
"August 2015","$0.00"
"September 2015","$0.00"
"October 2015","$0.00"
"November 2015","$575.79"
"December 2015","$25.00"
"January 2016","$42.00"
"February 2016","$0.00"
"March 2016","$0.00"
"April 2016","$248.70"
"May 2016","$135.10"
"June 2016","$203.20"
"July 2016","$224.20"
"August 2016","$258.20"
"September 2016","$195.20"
"October 2016","$0.00"
"November 2016","$295.18"
"December 2016","$25.00"
"January 2017","$0.00"
"February 2017","$0.00"
"March 2017","$491.50"
"April 2017","$218.58"
"May 2017","$189.20"
"June 2017","$0.00"
"July 2017","$0.00"
"August 2017","$0.00"
"September 2017","$706.52"
"October 2017","$0.00"
"November 2017","$0.00"
"December 2017","$215.96"
"January 2018","$0.00"
"February 2018","$0.00"
"March 2018","$0.00"
"April 2018","$0.00"
"May 2018","$0.00"
"June 2018","$0.00"
"July 2018","$289.36"
"August 2018","$0.00"
"September 2018","$0.00"
"October 2018","$0.00"
"November 2018","$0.00"
"December 2018","$157.80"
"January 2019","$0.00"
"February 2019","$43.20"
"March 2019","$186.60"
"April 2019","$0.00"
"May 2019","$361.50"
"June 2019","$471.96"
"July 2019","$90.00"
"August 2019","$279.60"
"September 2019","$283.60"
"October 2019","$577.86"
"November 2019","$408.59"
"December 2019","$1.40"
"January 2020","$208.60"
"February 2020","$288.20"
"March 2020","$119.40"
"April 2020","$0.00"
"May 2020","$594.96"
"June 2020","$0.00"
"July 2020","$445.38"
"August 2020","$0.00"
"September 2020","$261.69"
"October 2020","$193.63"
"November 2020","$0.00"
"December 2020","$31.15"
"January 2021","$274.05"
"Total","$15,090.06"
